,맥주이름,Aroma,Appearance,Flavor,Mouthfeel,Overall
0,Goose Island Goose IPA,6.883409651285664,3.568862275449102,6.963367382881296,3.4945403311025007,14.340612891863332
0,Goose Island 312 Urban Wheat Ale,5.316496507254165,3.065556152606126,5.585706609349812,2.9317571198280494,11.391187533584095
0,Edelweiss Weissbier Hefetrüb,6.450704225352113,3.5211267605633805,6.515492957746479,3.22112676056338,13.153521126760563
0,Somersby Apple Cider,4.614420062695925,2.4952978056426334,4.536050156739812,2.4012539184952977,8.567398119122258
0,Apple Fox,5.0,3.25,5.0,2.75,9.0
0,Desperados,3.5297482837528604,2.4279176201372996,3.517162471395881,2.04233409610984,6.422196796338673
0,Egger Grapefruit Radler,4.531914893617022,2.6595744680851063,4.723404255319149,2.4680851063829787,8.914893617021276
0,Egger Radler,3.484848484848485,2.121212121212121,3.3333333333333335,1.9090909090909092,6.363636363636363
0,Stella Artois,4.465618860510806,2.979230985124895,5.03480213303396,2.7575077182149874,10.167555430816728
0,Hoegaarden,6.760826555286876,3.6720158276544295,6.965486920202243,3.5126401406902614,14.315453945922181
0,Hoegaarden Rosée,5.1706896551724135,2.9741379310344827,4.813793103448276,2.5913793103448275,9.6
0,Budweiser,2.6814848762603116,2.123052245646196,3.046975252062328,1.8884051329055913,5.633822181484876
0,Patagonia Bohemian Pilsener,5.287671232876712,3.2054794520547945,5.63013698630137,2.9315068493150687,11.191780821917808
0,Kronenbourg 1664 Blanc,5.579166666666667,3.1802083333333333,5.4,2.8270833333333334,10.913541666666667
0,Erdinger Weissbier,5.914901664145234,3.5639183055975794,6.201588502269289,3.2409228441754916,12.670196671709531
1,Paulaner Hefe-Weissbier,6.915308498253784,3.872235157159488,7.083818393480792,3.6056461001164144,14.54569266589057
0,Paulaner Hefeweissbier Dunkel,6.6087378640776695,3.7155339805825243,6.695145631067962,3.428155339805825,13.692233009708739
0,Tiger Beer,3.9119861030689056,2.593514765489288,4.254777070063694,2.383902721482339,8.386218876664737
0,Guinness Draught,6.241843971631206,4.424290780141844,6.599822695035461,3.4957446808510637,13.84468085106383
0,Carlsberg Pilsner,4.057603686635945,2.6929723502304146,4.490783410138249,2.4976958525345623,8.930875576036867
2,Heineken,4.0277207392197125,2.8182751540041067,4.34599589322382,2.521560574948665,8.567761806981519
0,San Miguel Pale Pilsen,3.7855450236966823,2.5201421800947865,4.062796208530806,2.2985781990521326,7.981042654028436
1,Tsingtao,3.744144144144144,2.413963963963964,4.097747747747747,2.3378378378378377,7.988288288288288
0,Tsingtao Draft Beer 11º (Pure Draft Beer),3.4622641509433962,2.19811320754717,3.7735849056603774,2.2358490566037736,7.7075471698113205
0,Cass Fresh,3.3217993079584773,2.290657439446367,3.3633217993079585,2.027681660899654,6.446366782006921
0,Hite Beer,3.5332480818414322,2.3618925831202047,3.6918158567774935,2.176470588235294,6.991048593350383
0,Kloud Original Gravity,4.2745098039215685,2.8823529411764706,4.401960784313726,2.549019607843137,8.784313725490197
0,Terra,3.2,2.0,3.0,2.0,6.6
0,Max Cream,4.666666666666667,2.814814814814815,4.814814814814815,2.4814814814814814,9.555555555555555
0,FiLite,4.0,2.5555555555555554,4.555555555555555,2.7777777777777777,10.0
0,Jeju Wit Ale,5.588235294117647,3.235294117647059,5.9411764705882355,3.176470588235294,12.117647058823529
2,Jeju Pellong Ale,6.0,3.0,5.5,3.0,11.5
0,Jeju Baengnokdam Ale,5.833333333333333,2.8333333333333335,6.166666666666667,2.6666666666666665,11.333333333333334
0,HiteJinro Isul Tok Tok,5.0,2.5,4.25,2.25,7.25
0,Kabrew Gyeongbokgung Royal Pride IPA,7.0,3.5,6.5,2.8333333333333335,13.0
0,ARK Seoulite Ale,5.4,3.5,5.9,3.2,12.1
0,Hop House 13 Lager,5.535087719298246,3.280701754385965,5.760964912280702,2.960526315789474,11.447368421052632
1,Blue Moon Belgian White,5.733333333333333,3.24683908045977,5.983333333333333,3.094252873563218,12.073850574712644
0,Volfas Engelman Pasaulio Skoniai IPA,5.631578947368421,3.4210526315789473,5.7368421052631575,2.9210526315789473,11.302631578947368
0,Pilsner Urquell,6.009378663540446,3.531301289566237,6.5549824150058615,3.3962485345838216,13.441500586166471
0,Kozel Černý (Dark) 10°,5.714150047483381,3.4738841405508074,5.8670465337132,3.02659069325736,11.961063627730294
0,Sapporo Premium Beer / Draft Beer,4.072076882007474,2.6940736785904966,4.5082754938601175,2.5285638013881475,8.962092899092365
0,Kirin Ichiban,4.058341862845445,2.6709314227226204,4.377686796315251,2.4825997952917094,8.671443193449335
0,Suntory The Premium Malt's,4.956043956043956,2.967032967032967,5.4010989010989015,2.8131868131868134,10.576923076923077
0,Sapporo Yebisu,4.614942528735632,2.8419540229885056,4.9798850574712645,2.646551724137931,9.841954022988507
1,Asahi Super Dry,3.9054801407742583,2.6470588235294117,4.336349924585218,2.465560583207642,8.575666163901458
0,Kabrew Kumiho Peach Ale,6.0,3.0,5.666666666666667,2.6666666666666665,10.333333333333334
0,Cafri,3.175,2.175,3.0,1.925,6.25
0,Beck's,4.266198926950062,2.7123400742880728,4.703260420965745,2.5497317375154767,9.316549731737515
